           iteration                time              height            velocity
                   0                   0                   3           -0.997705
                   1                0.01             2.99002           -0.972982
                   2                0.02             2.98029           -0.951183
                   3                0.03             2.97078           -0.931898
                   4                0.04             2.96146           -0.914775
                   5                0.05             2.95231           -0.899517
                   6                0.06             2.94332           -0.885866
                   7                0.07             2.93446           -0.873605
                   8                0.08             2.92572           -0.862546
                   9                0.09              2.9171           -0.852529
                  10                 0.1             2.90857           -0.843417
                  11                0.11             2.90014           -0.835093
                  12                0.12             2.89179           -0.827455
                  13                0.13             2.88351           -0.820418
                  14                0.14             2.87531           -0.813907
                  15                0.15             2.86717           -0.807859
                  16                0.16             2.85909           -0.802218
                  17                0.17             2.85107           -0.796937
                  18                0.18              2.8431           -0.791976
                  19                0.19             2.83518           -0.787299
                  20                 0.2             2.82731           -0.782877
                  21                0.21             2.81948           -0.778681
                  22                0.22             2.81169           -0.774691
                  23                0.23             2.80395           -0.770885
                  24                0.24             2.79624           -0.767246
                  25                0.25             2.78856           -0.763759
                  26                0.26             2.78093           -0.760412
                  27                0.27             2.77332           -0.757191
                  28                0.28             2.76575           -0.754088
                  29                0.29             2.75821           -0.751092
                  30                 0.3              2.7507           -0.748196
                  31                0.31             2.74322           -0.745393
                  32                0.32             2.73576           -0.742676
                  33                0.33             2.72834            -0.74004
                  34                0.34             2.72094           -0.737479
                  35                0.35             2.71356           -0.734989
                  36                0.36             2.70621           -0.732566
                  37                0.37             2.69889           -0.730206
                  38                0.38             2.69158           -0.727905
                  39                0.39              2.6843            -0.72566
                  40                 0.4             2.67705           -0.723468
                  41                0.41             2.66981           -0.721327
